S_N,Gender,Age,EID1,EID2,EID3,EID4,EID5,EID6,EID7,EID8,EID9,CDB1,CDB2,CDB3,CDB4,CDB5,REB1,REB2,REB3,REB4,REB5,REB6,REB7,REB8,AAB1,AAB2,AAB3,AAB4,AAB5,AAB6,AAB7,AAB8,HIB1,HIB2,HIB3,HIB4,HIB5,HIB6,HIB7,AVB1,AVB2,AVB3,AVB4,AVB5,GFB1,GFB2,GFB3,GFB4,GFB5,GFB6,GFB7,GFB8,GFB9,GFB10,GFB11,OCB1,OCB2,OCB3,OCB4,OCB5,OCB6,OCB7,OCB8,LAB1,LAB2,LAB3,LAB4,LAB5,LAB6,LAB7,LAB8,SCB1,SCB2,SCB3,SCB4,SCB5,SCB6,SCB7,RAB1,RAB2,RAB3,RAB4,RAB5,RAB6,RAB7,HEB1,HEB2,HEB3,HEB4,HEB5,HEB6,SIB1,SIB2,SIB3,SIB4,SIB5,SIB6,SIB7,MEB1,MEB2,MEB3,MEB4,MEB5,MEB6,MEB7,MEB8,MEB9,COB1,COB2,COB3,COB4,COB5,COB6,PPB1,PPB2,PPB3,PPB4,PPB5,PPB6,PPB7,EEX1,EEX2,EEX3,EEX4,EEX5,EEX6,EEX7,EEX8,PFN1,PFN2,PFN3,PFN4,PFN5,PFN6,PFN7,PFN8,RPE1,RPE2,RPE3,RPE4,RPE5,RPE6,RPE7,RPR1,RPR2,RPR3,RPR4,RPR5,RPR6,RPR7
300,1,1,5,5,6,6,5,5,4,6,6,5,6,5,4,3,5,2,5,5,5,2,6,6,5,5,4,4,5,4,4,4,4,4,4,5,5,4,4,2,5,6,6,6,6,6,6,6,2,2,3,1,2,5,5,6,6,5,5,4,6,6,5,6,5,4,3,5,2,5,5,5,2,6,6,5,5,4,4,7,4,4,4,4,4,4,5,5,4,4,2,5,6,6,6,6,6,6,6,2,2,3,1,2,5,5,6,6,5,5,4,6,6,5,6,5,4,3,5,2,5,5,5,2,6,6,5,5,4,4,7,4,4,4,4,4,4,5,5,4,4,2,5,6,6,6,6,6,6,6
301,1,1,4,7,4,5,5,6,5,5,4,6,6,5,5,4,5,5,5,6,5,5,6,6,5,5,3,4,3,4,4,3,4,3,4,3,2,2,3,2,3,5,5,4,3,4,4,5,1,2,3,1,1,4,5,4,5,5,6,5,5,4,6,6,5,5,4,5,5,5,6,5,5,6,6,5,5,3,4,3,4,4,3,4,3,4,3,2,2,3,2,3,5,5,4,3,4,4,5,1,2,3,1,1,4,5,4,5,5,6,5,5,4,6,6,5,5,4,5,5,5,6,5,5,6,6,5,5,3,4,3,4,4,3,4,3,4,3,2,2,3,2,3,5,5,4,3,4,4,5
302,1,1,3,4,5,5,6,6,4,4,5,2,4,4,4,3,6,3,2,5,4,3,4,5,4,4,2,2,2,3,3,3,2,2,2,2,2,2,3,3,4,4,5,4,6,3,4,3,2,2,3,1,1,3,4,5,5,6,6,4,4,5,2,4,4,4,3,6,3,2,5,4,3,4,5,4,4,2,2,2,3,3,3,2,2,2,2,2,2,3,3,4,4,5,4,6,3,4,3,2,2,3,1,1,3,4,5,5,6,6,4,4,5,2,4,4,4,3,6,3,2,5,4,3,4,5,4,4,2,2,2,3,3,3,2,2,2,2,2,2,3,3,4,4,5,4,6,3,4,3
303,2,2,3,3,4,3,5,5,3,3,4,2,3,3,2,4,6,4,4,5,3,3,4,4,1,1,2,3,3,2,4,3,4,4,4,4,4,4,2,1,2,5,3,3,6,5,1,6,1,1,3,1,1,3,3,4,3,5,5,3,3,4,2,3,3,2,4,6,4,4,5,3,3,4,4,1,1,2,3,3,2,4,3,4,4,4,4,4,4,2,1,2,5,3,3,6,5,1,6,1,1,3,1,1,3,3,4,3,5,5,3,3,4,2,3,3,2,4,6,4,4,5,3,3,4,4,1,1,2,3,3,2,4,3,4,4,4,4,4,4,2,1,2,5,3,3,6,5,1,6
304,1,2,4,5,5,5,6,6,6,5,5,5,5,4,3,5,5,5,4,6,5,3,6,6,5,4,4,4,3,3,3,6,4,3,3,4,3,3,3,3,3,6,5,6,6,5,5,5,1,2,3,1,2,4,5,5,5,6,6,6,5,5,5,5,4,3,5,5,5,4,6,5,3,6,6,5,4,4,4,3,3,3,6,4,3,3,4,3,3,3,3,3,6,5,6,6,5,5,5,1,2,3,1,2,4,5,5,5,6,6,6,5,5,5,5,4,3,5,5,5,4,6,5,3,6,6,5,4,4,4,3,3,3,7,4,3,3,4,3,3,3,3,3,6,5,6,6,5,5,5
305,1,2,5,4,4,4,4,5,5,5,6,4,5,2,2,5,5,2,4,4,5,5,5,5,5,4,3,3,4,6,2,4,3,3,4,3,3,3,3,3,3,5,5,5,4,4,5,5,1,1,3,1,1,5,4,4,4,4,5,5,5,6,4,5,2,2,5,5,2,4,4,5,5,5,5,5,4,3,3,4,7,2,4,3,3,4,3,3,3,3,3,3,5,5,5,4,4,5,5,1,1,3,1,1,5,4,4,4,4,5,5,5,6,4,5,2,2,5,5,2,4,4,5,5,5,5,5,4,3,3,4,7,2,4,3,3,4,3,3,3,3,3,3,5,5,5,4,4,5,5
306,1,3,5,4,4,5,2,5,4,6,5,5,4,2,5,1,3,2,2,3,2,3,6,5,4,2,1,4,3,5,7,7,3,4,3,3,3,3,3,3,4,4,6,2,6,6,2,6,1,1,3,1,1,5,4,4,5,2,5,4,6,5,5,4,2,5,1,3,2,2,3,2,3,6,5,4,2,1,4,3,7,7,7,3,4,3,3,3,3,3,3,4,4,6,2,6,6,2,6,1,1,3,1,1,5,4,4,5,2,5,4,6,5,5,4,2,5,1,3,2,2,3,2,3,6,5,4,2,1,4,3,7,7,7,3,4,3,3,3,3,3,3,4,4,6,2,6,6,2,6
307,1,1,5,6,5,6,5,5,5,6,5,5,5,6,5,6,5,4,5,6,6,4,6,6,5,5,4,3,4,4,4,3,4,4,4,5,4,5,5,3,4,5,5,4,4,5,3,6,1,1,3,1,1,5,6,5,6,5,5,5,6,5,5,5,6,5,6,5,4,5,6,6,4,6,6,5,5,4,3,4,4,4,3,4,4,4,5,4,5,5,3,4,5,5,4,4,5,3,6,1,1,3,1,1,5,6,5,6,5,5,5,6,5,5,5,6,5,6,5,4,5,6,6,4,6,6,5,5,4,3,4,4,4,3,4,4,4,5,4,5,5,3,4,5,5,4,4,5,3,6
308,1,2,5,6,6,5,6,5,5,5,6,5,6,5,4,5,5,4,6,6,6,3,5,6,1,6,4,4,1,3,4,2,3,3,4,3,5,4,5,2,4,6,6,6,5,6,5,6,1,1,2,1,1,5,6,6,5,6,5,5,5,6,5,6,5,4,5,5,4,6,6,6,3,5,6,1,6,4,4,1,3,4,2,3,3,4,3,5,4,5,2,4,6,6,6,5,6,5,6,1,1,2,1,1,5,6,6,5,6,5,5,5,6,5,6,5,4,5,5,4,6,6,6,3,5,6,1,6,4,4,1,3,4,2,3,3,4,3,5,4,5,2,4,6,6,6,5,6,5,6
309,2,2,4,4,4,3,5,5,6,5,4,4,4,2,4,3,3,3,4,3,2,3,5,5,2,4,2,3,4,4,3,1,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,6,1,1,3,1,1,4,4,4,3,5,5,6,5,4,4,4,2,4,3,3,3,4,3,2,3,5,5,2,4,2,3,4,4,3,1,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,6,1,1,3,1,1,4,4,4,3,5,5,6,5,4,4,4,2,4,3,3,3,4,3,2,3,5,5,2,4,2,3,4,4,3,1,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5,6
310,1,2,4,6,2,5,5,2,5,6,6,1,2,4,1,2,3,4,1,1,3,4,5,2,4,4,2,3,2,4,1,2,1,1,3,3,3,3,3,3,3,3,2,2,5,5,4,4,1,1,2,1,1,4,6,2,5,5,2,5,6,6,1,2,4,1,2,3,4,1,1,3,4,5,2,4,4,2,3,2,4,1,2,1,1,3,3,3,3,3,3,3,3,2,2,5,5,4,4,1,1,2,1,1,4,6,2,5,5,2,5,6,6,1,2,4,1,2,3,4,1,1,3,4,5,2,4,4,2,3,2,4,1,2,1,1,3,3,3,3,3,3,3,3,2,2,5,5,4,4
311,1,2,5,6,6,5,5,6,6,4,6,4,5,5,4,5,5,3,5,5,4,3,5,5,4,5,2,2,3,4,3,3,2,3,3,3,2,2,1,4,3,6,5,5,5,6,4,4,2,1,3,2,2,5,6,6,5,5,6,6,4,6,4,5,5,4,5,5,3,5,5,4,3,5,5,4,5,2,2,3,4,3,3,2,3,3,3,2,2,1,4,3,6,5,5,5,6,4,4,2,1,3,2,2,5,6,6,5,5,6,6,4,6,4,5,5,4,5,5,3,5,5,4,3,5,5,4,5,2,2,3,4,3,3,2,3,3,3,2,2,1,4,3,6,5,5,5,6,4,4
312,1,3,5,5,5,5,5,5,6,5,5,5,5,5,2,6,5,5,4,3,3,3,5,5,4,4,2,1,3,3,3,3,2,3,3,4,3,2,2,3,3,5,3,5,3,4,5,5,2,1,3,1,3,5,5,5,5,5,5,6,5,5,5,5,5,2,6,5,5,4,3,3,3,5,5,4,4,2,1,3,3,3,3,2,3,3,4,3,2,2,3,3,5,3,5,3,4,5,5,2,1,3,1,3,5,5,5,5,5,5,6,5,5,5,5,5,2,6,5,5,4,3,3,3,5,5,4,4,2,1,3,3,3,3,2,3,3,4,3,2,2,3,3,5,3,5,3,4,5,5
313,1,2,5,5,5,5,3,5,5,5,3,4,5,5,2,5,5,3,4,4,3,4,5,5,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,5,5,5,3,5,5,5,1,2,3,1,2,5,5,5,5,3,5,5,5,3,4,5,5,2,5,5,3,4,4,3,4,5,5,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,5,5,5,3,5,5,5,1,2,3,1,2,5,5,5,5,3,5,5,5,3,4,5,5,2,5,5,3,4,4,3,4,5,5,4,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,5,5,5,3,5,5,5
314,2,1,5,5,6,6,6,5,5,6,5,5,5,6,3,3,5,4,6,5,5,4,4,5,2,4,4,3,3,3,3,4,4,4,4,5,4,4,5,5,5,5,5,5,4,5,4,6,2,1,3,1,2,5,5,6,6,6,5,5,6,5,5,5,6,3,3,5,4,6,5,5,4,4,5,2,4,4,3,3,3,3,4,4,4,4,5,4,4,5,5,5,5,5,5,4,5,4,6,2,1,3,1,2,5,5,6,6,6,5,5,6,5,5,5,6,3,3,5,4,6,5,5,4,4,5,2,4,4,3,3,3,3,4,4,4,4,5,4,4,5,5,5,5,5,5,4,5,4,6
315,2,1,4,4,4,4,3,4,5,4,3,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5,1,1,3,1,2,4,4,4,4,3,4,5,4,3,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5,1,1,3,1,2,4,4,4,4,3,4,5,4,3,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5
316,2,2,4,4,4,4,3,4,4,3,2,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5,1,2,3,1,2,4,4,4,4,3,4,4,3,2,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5,1,2,3,1,2,4,4,4,4,3,4,4,3,2,4,4,4,5,4,4,4,3,4,2,3,4,4,4,4,4,3,2,4,2,3,3,2,3,2,2,2,2,3,5,5,5,5,4,4,4,5
317,2,1,6,6,3,5,3,6,2,5,4,4,4,5,4,4,5,4,4,4,3,4,4,4,4,4,2,2,1,2,2,5,2,2,3,3,2,2,2,3,2,6,5,6,3,5,5,6,1,1,2,1,2,6,6,3,5,3,6,2,5,4,4,4,5,4,4,5,4,4,4,3,4,4,4,4,4,2,2,1,2,2,5,2,2,3,3,2,2,2,3,2,6,5,6,3,5,5,6,1,1,2,1,2,6,6,3,5,3,6,2,5,4,4,4,5,4,4,5,4,4,4,3,4,4,4,4,4,2,2,1,2,2,6,2,2,3,3,2,2,2,3,2,6,5,6,3,5,5,6
318,1,1,3,2,3,1,3,1,2,1,3,2,3,2,2,2,4,5,4,4,4,4,4,4,4,5,3,2,6,4,6,2,7,2,1,1,2,3,1,4,3,1,3,2,4,2,4,3,1,1,2,1,1,3,2,3,1,3,1,2,1,3,2,3,2,2,2,4,5,4,4,4,4,4,4,4,5,3,2,6,4,6,2,7,2,1,1,2,3,1,4,3,1,3,2,4,2,4,3,1,1,2,1,1,3,2,3,1,3,1,2,1,3,2,3,2,2,2,4,5,4,4,4,4,4,4,4,5,3,2,7,4,7,2,6,2,1,1,2,3,1,4,3,1,3,2,4,2,4,3
319,1,2,4,3,3,4,4,3,3,4,5,5,5,4,3,4,3,5,3,4,3,5,5,5,4,4,2,3,1,2,1,3,2,3,3,3,3,3,2,4,2,5,4,5,2,2,3,3,1,2,2,1,1,4,3,3,4,4,3,3,4,5,5,5,4,3,4,3,5,3,4,3,5,5,5,4,4,2,3,1,2,1,3,2,3,3,3,3,3,2,4,2,5,4,5,2,2,3,3,1,2,2,1,1,4,3,3,4,4,3,3,4,5,5,5,4,3,4,3,5,3,4,3,5,5,5,4,4,2,3,1,2,1,3,2,3,3,3,3,3,2,4,2,5,4,5,2,2,3,3
320,1,1,5,5,5,6,4,5,6,6,5,4,5,5,4,4,5,4,6,4,4,5,4,4,4,4,3,3,6,3,2,2,3,4,4,5,5,5,5,5,5,4,4,5,1,4,4,6,1,1,3,1,2,5,5,5,6,4,5,6,6,5,4,5,5,4,4,5,4,6,4,4,5,4,4,4,4,3,3,7,3,2,2,3,4,4,5,5,5,5,5,5,4,4,5,1,4,4,6,1,1,3,1,2,5,5,5,6,4,5,6,6,5,4,5,5,4,4,5,4,6,4,4,5,4,4,4,4,3,3,7,3,2,2,3,4,4,5,5,5,5,5,5,4,4,5,1,4,4,6
321,1,2,5,5,5,6,5,6,5,6,6,5,5,6,4,5,5,5,5,5,6,5,6,5,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,2,3,3,6,3,3,3,1,2,2,1,1,5,5,5,6,5,6,5,6,6,5,5,6,4,5,5,5,5,5,6,5,6,5,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,2,3,3,6,3,3,3,1,2,2,1,1,5,5,5,6,5,6,5,6,6,5,5,6,4,5,5,5,5,5,6,5,6,5,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,2,3,3,6,3,3,3
322,1,2,5,6,5,5,5,6,5,3,4,3,5,3,2,1,4,2,4,4,3,4,4,5,1,4,2,3,1,7,1,2,1,2,2,5,3,3,3,3,3,4,3,4,3,4,3,3,1,1,2,1,1,5,6,5,5,5,6,5,3,4,3,5,3,2,1,4,2,4,4,3,4,4,5,1,4,2,3,1,7,1,2,1,2,2,5,3,3,3,3,3,4,3,4,3,4,3,3,1,1,2,1,1,5,6,5,5,5,6,5,3,4,3,5,3,2,1,4,2,4,4,3,4,4,5,1,4,2,3,1,7,1,2,1,2,2,5,3,3,3,3,3,4,3,4,3,4,3,3
323,1,1,5,5,5,5,2,5,5,5,4,4,5,4,4,3,2,2,3,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,4,4,4,4,4,4,4,6,6,6,6,6,5,6,1,2,3,1,1,5,5,5,5,2,5,5,5,4,4,5,4,4,3,2,2,3,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,4,4,4,4,4,4,4,6,6,6,6,6,5,6,1,2,3,1,1,5,5,5,5,2,5,5,5,4,4,5,4,4,3,2,2,3,4,4,4,4,4,4,4,2,4,4,4,4,2,3,3,4,4,4,4,4,4,4,6,6,6,6,6,5,6
324,1,2,4,5,4,5,5,5,3,5,5,3,4,5,3,5,4,4,3,2,2,2,5,5,4,4,2,2,2,1,2,3,3,4,3,3,4,3,3,2,5,5,4,5,2,5,6,6,1,1,2,1,1,4,5,4,5,5,5,3,5,5,3,4,5,3,5,4,4,3,2,2,2,5,5,4,4,2,2,2,1,2,3,3,4,3,3,4,3,3,2,5,5,4,5,2,5,6,6,1,1,2,1,1,4,5,4,5,5,5,3,5,5,3,4,5,3,5,4,4,3,2,2,2,5,5,4,4,2,2,2,1,2,3,3,4,3,3,4,3,3,2,5,5,4,5,2,5,6,6
325,1,2,5,6,6,5,5,6,5,6,6,6,5,5,5,6,5,4,5,6,6,5,6,5,5,5,4,3,4,4,3,4,4,4,4,3,3,3,4,4,5,6,1,6,5,6,6,6,2,1,4,1,2,5,6,6,5,5,6,5,6,6,6,5,5,5,6,5,4,5,6,6,5,6,5,5,5,4,3,4,4,3,4,4,4,4,3,3,3,4,4,5,6,1,6,5,6,6,6,2,1,4,1,2,5,6,6,5,5,6,5,6,6,6,5,5,5,6,5,4,5,6,6,5,6,5,5,5,4,3,4,4,3,4,4,4,4,3,3,3,4,4,5,6,1,6,5,6,6,6
326,1,2,5,4,5,5,6,5,4,5,5,5,5,5,2,3,4,3,4,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,4,5,5,6,5,6,6,1,2,3,1,2,5,4,5,5,6,5,4,5,5,5,5,5,2,3,4,3,4,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,4,5,5,6,5,6,6,1,2,3,1,2,5,4,5,5,6,5,4,5,5,5,5,5,2,3,4,3,4,5,5,5,5,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,4,5,5,6,5,6,6
327,1,2,5,6,4,6,4,4,5,6,6,4,5,5,2,5,5,5,5,5,5,4,5,5,4,6,3,3,3,4,3,3,3,2,3,3,4,3,2,1,4,5,4,4,3,5,5,5,2,1,3,1,2,5,6,4,6,4,4,5,6,6,4,5,5,2,5,5,5,5,5,5,4,5,5,4,6,3,3,3,4,3,3,3,2,3,3,4,3,2,1,4,5,4,4,3,5,5,5,2,1,3,1,2,5,6,4,6,4,4,5,6,6,4,5,5,2,5,5,5,5,5,5,4,5,5,4,6,3,3,3,4,3,3,3,2,3,3,4,3,2,1,4,5,4,4,3,5,5,5
328,1,2,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,5,2,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,4,5,3,5,5,5,1,2,2,1,1,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,5,2,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,4,5,3,5,5,5,1,2,2,1,1,3,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,5,5,2,3,2,3,3,2,3,2,2,3,2,3,3,3,3,3,4,5,3,5,5,5
329,2,2,4,3,5,5,6,4,4,5,3,5,6,4,5,5,5,2,4,3,5,4,6,5,4,5,3,2,4,3,2,3,4,4,4,5,5,5,5,5,5,4,6,5,5,5,6,6,1,1,2,1,1,4,3,5,5,6,4,4,5,3,5,6,4,5,5,5,2,4,3,5,4,6,5,4,5,3,2,4,3,2,3,4,4,4,5,5,5,5,5,5,4,6,5,5,5,6,6,1,1,2,1,1,4,3,5,5,6,4,4,5,3,5,6,4,5,5,5,2,4,3,5,4,6,5,4,5,3,2,4,3,2,3,4,4,4,5,5,5,5,5,5,4,6,5,5,5,6,6
330,1,2,5,4,4,4,4,5,5,5,5,6,6,6,2,1,4,2,4,4,2,3,4,5,1,5,3,3,3,3,3,2,2,3,3,5,4,4,4,2,3,5,5,5,2,5,6,6,1,2,3,1,1,5,4,4,4,4,5,5,5,5,6,6,6,2,1,4,2,4,4,2,3,4,5,1,5,3,3,3,3,3,2,2,3,3,5,4,4,4,2,3,5,5,5,2,5,6,6,1,2,3,1,1,5,4,4,4,4,5,5,5,5,6,6,6,2,1,4,2,4,4,2,3,4,5,1,5,3,3,3,3,3,2,2,3,3,5,4,4,4,2,3,5,5,5,2,5,6,6
331,1,2,5,5,6,6,4,4,4,5,5,4,6,6,5,5,4,4,4,3,3,5,3,5,5,6,3,4,4,4,4,2,4,4,4,3,3,3,4,4,4,5,6,6,5,6,4,5,1,1,3,2,2,5,5,6,6,4,4,4,5,5,4,6,6,5,5,4,4,4,3,3,5,3,5,5,6,3,4,4,4,4,2,4,4,4,3,3,3,4,4,4,5,6,6,5,6,4,5,1,1,3,2,2,5,5,6,6,4,4,4,5,5,4,6,6,5,5,4,4,4,3,3,5,3,5,5,6,3,4,4,4,4,2,4,4,4,3,3,3,4,4,4,5,6,6,5,6,4,5
332,1,2,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,1,3,2,2,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,1,3,2,2,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4
333,1,2,6,5,5,6,4,5,6,6,6,5,5,5,1,4,5,4,4,5,5,2,5,5,1,1,4,4,4,4,4,7,4,4,4,4,4,4,4,1,1,6,6,6,4,6,4,6,2,1,3,2,1,6,5,5,6,4,5,6,6,6,5,5,5,1,4,5,4,4,5,5,2,5,5,1,1,4,4,4,4,4,7,4,4,4,4,4,4,4,1,1,6,6,6,4,6,4,6,2,1,3,2,1,6,5,5,6,4,5,6,6,6,5,5,5,1,4,5,4,4,5,5,2,5,5,1,1,4,4,4,4,4,6,4,4,4,4,4,4,4,1,1,6,6,6,4,6,4,6
334,1,2,2,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,1,4,3,3,4,3,2,3,7,1,3,3,2,2,3,1,6,4,5,5,6,4,5,2,2,3,2,2,2,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,1,4,3,3,4,3,2,3,7,1,3,3,2,2,3,1,6,4,5,5,6,4,5,2,2,3,2,2,2,4,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,1,4,3,3,4,3,2,3,7,1,3,3,2,2,3,1,6,4,5,5,6,4,5
335,2,1,3,5,1,5,6,4,5,5,6,4,4,4,2,5,4,4,6,4,3,2,4,4,5,6,3,2,2,4,3,3,2,2,3,4,3,3,3,4,4,6,3,4,5,5,4,4,2,1,3,2,2,3,5,1,5,6,4,5,5,6,4,4,4,2,5,4,4,6,4,3,2,4,4,5,6,3,2,2,4,3,3,2,2,3,4,3,3,3,4,4,6,3,4,5,5,4,4,2,1,3,2,2,3,5,1,5,6,4,5,5,6,4,4,4,2,5,4,4,6,4,3,2,4,4,5,6,3,2,2,4,3,3,2,2,3,4,3,3,3,4,4,6,3,4,5,5,4,4
336,1,2,6,6,6,6,5,5,6,6,5,6,6,6,2,5,6,5,6,5,5,4,5,5,1,5,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,2,1,3,4,3,6,6,6,6,5,5,6,6,5,6,6,6,2,5,6,5,6,5,5,4,5,5,1,5,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,2,1,3,4,3,6,6,6,6,5,5,6,6,5,6,6,6,2,5,6,5,6,5,5,4,5,5,1,5,4,4,3,4,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6
337,1,1,6,5,5,5,4,5,4,5,4,4,5,4,3,4,5,3,4,4,3,4,5,2,4,6,7,1,2,3,2,1,1,1,1,3,4,3,2,3,2,6,5,4,3,4,5,5,2,2,3,2,2,6,5,5,5,4,5,4,5,4,4,5,4,3,4,5,3,4,4,3,4,5,2,4,6,7,1,2,3,2,1,1,1,1,3,4,3,2,3,2,6,5,4,3,4,5,5,2,2,3,2,2,6,5,5,5,4,5,4,5,4,4,5,4,3,4,5,3,4,4,3,4,5,2,4,6,7,1,2,3,2,1,1,1,1,3,4,3,2,3,2,6,5,4,3,4,5,5
338,1,3,5,6,5,5,4,6,6,6,5,5,5,5,5,4,5,4,3,5,5,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,5,5,3,5,4,6,3,2,4,2,2,5,6,5,5,4,6,6,6,5,5,5,5,5,4,5,4,3,5,5,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,5,5,3,5,4,6,3,2,4,2,2,5,6,5,5,4,6,6,6,5,5,5,5,5,4,5,4,3,5,5,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,6,5,5,3,5,4,6
339,1,1,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,2,2,1,2,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,2,2,1,2,5,5,4,5,5,6,4,4,5,3,4,4,3,4,3,3,4,3,4,3,6,5,3,4,3,3,4,4,3,2,3,3,4,4,4,4,4,4,3,4,3,4,3,4,3,4
340,1,3,5,5,6,3,4,4,3,6,3,5,5,5,3,5,3,4,5,3,2,2,4,5,5,6,3,3,2,4,4,2,4,4,4,2,1,1,2,3,4,3,4,3,1,1,5,3,2,1,3,1,1,5,5,6,3,4,4,3,6,3,5,5,5,3,5,3,4,5,3,2,2,4,5,5,6,3,3,2,4,4,2,4,4,4,2,1,1,2,3,4,3,4,3,1,1,5,3,2,1,3,1,1,5,5,6,3,4,4,3,6,3,5,5,5,3,5,3,4,5,3,2,2,4,5,5,6,3,3,2,4,4,2,4,4,4,2,1,1,2,3,4,3,4,3,1,1,5,3
341,1,3,5,5,5,4,5,5,2,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,2,1,3,2,1,5,5,5,4,5,5,2,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,2,1,3,2,1,5,5,5,4,5,5,2,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3
342,1,2,4,5,5,5,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,4,5,4,5,5,4,4,6,6,5,5,5,4,6,2,1,3,3,2,4,5,5,5,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,4,5,4,5,5,4,4,6,6,5,5,5,4,6,2,1,3,3,2,4,5,5,5,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,4,4,4,5,4,5,5,4,4,6,6,5,5,5,4,6
